Figure_1 init_vapor_supersat
Figure_2_a mean_tke
Figure_2_b std_tke
Figure_2_c dsp_tke
Figure_2_d mean_temp
Figure_2_e std_temp
Figure_2_f dsp_temp
Figure_2_g mean_vapor
Figure_2_h std_vapor
Figure_2_i dsp_vapor
Figuer_2_j mean_super
Figure_2_k std_super
Figure_2_l dsp_super
Figure_3_a pdf_radius_d1
Figure_3_b pdf_radius_f1
Figure_3_c pdf_radius_d2
Figure_3_d pdf_radius_f2
Figure_3_e pdf_radius_d3
Figure_3_f pdf_radius_f3
Figure_4_a num_con
Figure_4_b lwc
Figure_4_c vmean_radius
Figure_4_d mean_radius
Figure_4_e std_radius
Figure_4_f dsp_radius
Figure_5_a mixing_cased1_tt
Figure_5_b mixing_casef1_tt
Figure_5_c mixing_cased2_tt
Figure_5_d mixing_casef2_tt
Figure_5_e mixing_cased3_tt
Figure_5_f mixing_casef3_tt
Figure_6 mixing_dia
Figure_7_a phi3_phi1
Figure_7_b phi3_phi2
Figure_7_c phi3_phi4
Figure_7_d phi3_phi5
Figure_8_a phi1da
Figure_8_b phi2da
Figure_8_c phi3da
Figure_8_d phi4da
Figure_8_e phi5da
Figure_9_a phi1nl
Figure_9_b phi2nl
Figure_9_c phi3nl
Figure_9_d phi4nl
Figure_9_e phi5nl
Figure_10_a taylor_trans
Figure_10_b da_nl_avg

